"month","aov"
"2016-10-01","175.72"
"2016-12-01","19.62"
"2017-01-01","170.06"
"2017-02-01","164.13"
"2017-03-01","162.75"
"2017-04-01","169.76"
"2017-05-01","159.92"
"2017-06-01","156.37"
"2017-07-01","146.28"
"2017-08-01","154.07"
"2017-09-01","168.96"
"2017-10-01","167.74"
"2017-11-01","158.26"
"2017-12-01","152.95"
"2018-01-01","152.58"
"2018-02-01","147.45"
"2018-03-01","160.03"
"2018-04-01","166.66"
"2018-05-01","167.26"
"2018-06-01","165.94"
"2018-07-01","166.89"
"2018-08-01","155.16"
